"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 10 12:25:13 MSK 2024","Fri May 10 12:25:13 MSK 2024","201","tests","test_create_courier","TestCreateCourier","","","Проверка успешности создания курьера","Создание шаблонного курьера, проверка статуса ответа и тела ответа"
"passed","Fri May 10 12:25:14 MSK 2024","Fri May 10 12:25:14 MSK 2024","110","tests","test_order","TestOrder","","","Проверка успешности создания заказа с разными параметрами в поле color",""
"passed","Fri May 10 12:25:13 MSK 2024","Fri May 10 12:25:13 MSK 2024","278","tests","test_create_courier","TestCreateCourier","","","Проверка невозможности создать двух одинаковых курьеров","Запоминаем креды. Создаем курьера и пытаемся создать курьера с такими же кредами."
"passed","Fri May 10 12:25:13 MSK 2024","Fri May 10 12:25:14 MSK 2024","367","tests","test_login_courier","TestLoginCourier","","","Проверка успешной авторизации","Создание шаблонного курьера, проверка статуса ответа. Авторизация, удаление."
"passed","Fri May 10 12:25:14 MSK 2024","Fri May 10 12:25:14 MSK 2024","128","tests","test_order","TestOrder","","","Проверка успешности создания заказа с разными параметрами в поле color",""
"passed","Fri May 10 12:25:14 MSK 2024","Fri May 10 12:25:14 MSK 2024","149","tests","test_order","TestOrder","","","Проверка успешности создания заказа с разными параметрами в поле color",""
"passed","Fri May 10 12:25:14 MSK 2024","Fri May 10 12:25:14 MSK 2024","95","tests","test_login_courier","TestLoginCourier","","","Проверка авторизации с пустыми данными","Авторизация с пустыми данными"
"passed","Fri May 10 12:25:14 MSK 2024","Fri May 10 12:25:37 MSK 2024","22301","tests","test_order","TestOrder","","","Проверка получения списка товаров",""
"passed","Fri May 10 12:25:14 MSK 2024","Fri May 10 12:25:14 MSK 2024","145","tests","test_login_courier","TestLoginCourier","","","Проверка авторизации c несуществующим пользователем","Авторизации c несуществующим пользователем, запрос возвращает ошибку"
"passed","Fri May 10 12:25:14 MSK 2024","Fri May 10 12:25:14 MSK 2024","115","tests","test_order","TestOrder","","","Проверка успешности создания заказа с разными параметрами в поле color",""
"passed","Fri May 10 12:25:13 MSK 2024","Fri May 10 12:25:13 MSK 2024","130","tests","test_create_courier","TestCreateCourier","","","Проверка, что нельзя создать курьера с пустыми данными.","Проверка, что нельзя создать курьера с пустыми данными."
